"METIER_DCF_6_COD"	"METIER_DCF_6_LIB"
"OTT_DEF_100_119_0"	"Chaluts de fond jumeaux à panneaux - Poissons démersaux - Maillage [100_119] mm - Pas de dispositifs sélectifs"
"OTT_DEF_0_16_0"	"Chaluts de fond jumeaux à panneaux - Poissons démersaux - Maillage < 16 mm - Pas de dispositifs sélectifs"
"OTT_DEF_>=65_0"	"Chaluts de fond jumeaux à panneaux - Poissons démersaux - Maillage >=65 mm - Pas de dispositifs sélectifs"
"OTT_DWS_90_119_0"	"Chaluts de fond jumeaux à panneaux - Espèces profondes - Maillage [90_119] mm - Pas de dispositifs sélectifs"
"OTT_MOL_>=70_0"	"Chaluts de fond jumeaux à panneaux - Mollusques - Maillage >=70 mm - Pas de dispositifs sélectifs"
"OTT_MOL_>=55_0"	"Chaluts de fond jumeaux à panneaux - Mollusques - Maillage >=55 mm - Pas de dispositifs sélectifs"
"PTB_CRU_90_119_0"	"Chaluts-b½ufs de fond - Crustacés - Maillage [90_119] mm - Pas de dispositifs sélectifs"
"PTB_CRU_32_54_0"	"Chaluts-b½ufs de fond - Crustacés - Maillage [32_54] mm - Pas de dispositifs sélectifs"
"PTB_CRU_70_99_0"	"Chaluts-b½ufs de fond - Crustacés - Maillage [70_99] mm - Pas de dispositifs sélectifs"
"PTB_DEF_>=65_0"	"Chaluts-b½ufs de fond - Poissons démersaux - Maillage >=65 mm - Pas de dispositifs sélectifs"
"PTB_DEF_20_39_0"	"Chaluts-b½ufs de fond - Poissons démersaux - Maillage [20_39] mm - Pas de dispositifs sélectifs"
"TBS_CRU_16_31_0"	"Chaluts à crevettes - Crustacés - Maillage [16_31] mm - Pas de dispositifs sélectifs"
"TBS_CRU_>=65_0"	"Chaluts à crevettes - Crustacés - Maillage >=65 mm - Pas de dispositifs sélectifs"
"TBS_CRU_>=55_0"	"Chaluts à crevettes - Crustacés - Maillage >=55 mm - Pas de dispositifs sélectifs"
"TBS_CRU_90_119_0"	"Chaluts à crevettes - Crustacés - Maillage [90_119] mm - Pas de dispositifs sélectifs"
"GND_CAT_120_219_0"	"Filets maillants dérivants - Poissons catadromes - Maillage [120_219] mm - Pas de dispositifs sélectifs"
"GND_DEF_>=100_0"	"Filets maillants dérivants - Poissons démersaux - Maillage >=100 mm - Pas de dispositifs sélectifs"
"GND_DEF_50_70_0"	"Filets maillants dérivants - Poissons démersaux - Maillage [50_70] mm - Pas de dispositifs sélectifs"
"GND_LPF_50_70_0"	"Filets maillants dérivants - Grands pélagiques - Maillage [50_70] mm - Pas de dispositifs sélectifs"
"GND_LPF_10_30_0"	"Filets maillants dérivants - Grands pélagiques - Maillage [10_30] mm - Pas de dispositifs sélectifs"
"GND_SPF_90_99_0"	"Filets maillants dérivants - Petits pélagiques - Maillage [90_99] mm - Pas de dispositifs sélectifs"
