"ESP_COD_FAO"	"ESP_LIB_FAO_FRANCAIS"
"USC"	"Cosmochilus cardinalis"
"YPW"	"Cyprinion watsoni"
"DAT"	"Danionella translucida"
"DII"	"Discherodontus ashmeadi"
"DIT"	"Distoechodon tumirostris"
"EIO"	"Eirmotus octozona"
"ELM"	"Elopichthys bambusa"
"ENL"	"Engraulicypris sardella"
"EPB"	"Epalzeorhynchos bicolor"
"EQQ"	"Epalzeorhynchos kalopterus"
"ERA"	"Eremichthys acros"
"ERD"	"Erimystax dissimilis"
"ESD"	"Esomus danricus"
"EUE"	"Eupallasella perenurus"
"EXM"	"Exoglossum maxillingua"
"KUB"	"Kuronezumia bubonis"
"LDE"	"Lepidorhynchus denticulatus"
"MLE"	"Mataeocephalus acipenserinus"
"MLT"	"Mataeocephalus tenuicauda"
"MSN"	"Mesobius antipodum"
"PDK"	"Pseudonezumia cetonuropsis"
"VEA"	"Ventrifossa atherodon"
"VEE"	"Ventrifossa ctenomelas"
"VED"	"Ventrifossa divergens"
"VEG"	"Ventrifossa garmani"
"VEM"	"Ventrifossa macropogon"
"VEI"	"Ventrifossa nigrodorsalis"
"VES"	"Ventrifossa petersoni"
"MLG"	"Mélanone gracile"
"MZY"	"Melanonus zugmayeri"
"EUY"	"Euclichthys polynemus"
"GTA"	"Épinoche à trois épines"
"GUO"	"Gasterosteus crenobiontus"
"GUW"	"Gasterosteus wheatlandi"
"CUZ"	"Culaea inconstans"
"GPT"	"Épinochette"
"PNY"	"Pungitius platygaster"
"GSS"	"Épinoche de mer"
"AQD"	"Apeltes quadracus"
"AJP"	"Aulichthys japonicus"
"AFV"	"Aulorhynchus flavidus"
"IPX"	"Indostomus paradoxus"
"EYC"	"Petit dragon"
"PGV"	"Pegasus volitans"
"KLA"	"Hypoptychus dybowskii"
"AGQ"	"Aulostomus strigosus"
"FUC"	"Cornette fluteau"
"FUT"	"Cornette tachetée"
"FIO"	"Cornette à taches bleues"
"FIP"	"Cornette rouge"
"SNS"	"Bécasse de mer"
"MFG"	"Macroramphosus gracilis"
"CUQ"	"Centriscops humerosus"
"NPE"	"Notopogon endeavouri"
"NPR"	"Notopogon fernandezianus"
"NPX"	"Notopogon xenosoma"
"CUW"	"Centriscus cristatus"
"AOW"	"Aeoliscus punctulatus"
"SLY"	"Solenostomus cyanopterus"
"SXS"	"Solenostomus paradoxus"
"SAQ"	"Anarchopterus criniger"
"AYE"	"Apterygocampus epinnulatus"
"SGQ"	"Syngnathe aiguille"
"STQ"	"Siphonostome"
"SHQ"	"Syngnathe de lagune"
"SGP"	"Syngnathus phlegon"
"SFR"	"Syngnathe de Duméril"
"SSJ"	"Syngnathus schmidti"
"SUZ"	"Syngnathus taenionotus"
"STX"	"Syngnathe à long museau"
"SVR"	"Syngnathus variegatus"
"BHT"	"Bhanotia fasciolata"
"HPH"	"Hippocampe à nez court"
"HPI"	"Hippocampe à long bec"
"NRM"	"Nerophis maculatus"
"NRO"	"Nérophis ophidion"
"NRL"	"Nérophis lombricoïde"
"DBJ"	"Doryichthys boaja"
"CBJ"	"Choeroichthys brachysoma"
"SGH"	"Stigmatopora argus"
"SGJ"	"Syngnathoides biaculeatus"
"SGD"	"Solegnathus dunckeri"
"AQA"	"Acentronura australe"
"PXT"	"Phyllopteryx taeniolatus"
"PCQ"	"Phycodurus eques"
"BXY"	"Bryx analicarens"
"BLN"	"Bulbonaricus brauni"
"CGL"	"Campichthys galei"
"CFV"	"Syngnathe à traits jaunes"
"CPZ"	"Cosmocampus arctus"
"ENQ"	"Entelure"
"DBW"	"Doryrhamphus baldwini"
